R_value,R_uncertainty,L_value,L_uncertainty
0.2511574108247158,0.002150917553263031,5.32289651911442,0.08851419410314973
0.1873354194153986,0.001896853163073445,5.3740087756133175,0.09843369023975117
0.15493093368410737,0.0017261821777715411,5.469893638569735,0.1090648605299314
0.32024894746635674,0.003457749528851016,5.211830665003009,0.09541751001032893
0.21917004240987256,0.002634256944904915,5.451476283619888,0.11459980343233246
0.16374130727203265,0.0017154902837281344,5.415160652544198,0.1147203021237447
0.3674354695203853,0.0034630689912022094,5.283246558536595,0.0829667334211429
0.29373821075790496,0.0031592280415207864,5.339644268264988,0.09174963533059666
0.25719255591012646,0.0022006855045989203,5.293707388709793,0.09296272414764342
0.21034149240868466,0.0021074162980564155,5.351404729592719,0.10488558224999235
0.3671276394200196,0.0034392898256589287,5.251322940742604,0.06805153621651
